INDV	N_SITES	MEAN_DEPTH
BP1_A02	560516	80.4302
BP1_A03	560516	26.1767
BP1_A04	560516	28.6217
BP1_A05	560516	13.2155
BP1_A06	560516	10.4468
BP1_A07	560516	14.2813
BP1_A08	560516	22.3288
BP1_A09	560516	19.9638
BP1_A10	560516	25.1251
BP1_A11	560516	51.0251
BP1_A12	560516	20.5301
BP1_B01	560516	15.914
BP1_B02	560516	24.7336
BP1_B03	560516	45.9519
BP1_B04	560516	15.4975
BP1_B05	560516	29.2773
BP1_B06	560516	50.6812
BP1_B07	560516	19.3068
BP1_B08	560516	41.252
BP1_B09	560516	58.1726
BP1_B10	560516	58.3473
BP1_C01	560516	55.8911
BP1_C02	560516	6.88986
BP1_C03	560516	37.0194
BP1_C05	560516	31.1951
BP1_C06	560516	41.1245
BP1_C07	560516	8.4082
BP1_C08	560516	18.0804
BP1_C12	560516	13.3474
BP1_D01	560516	48.0701
BP1_D02	560516	11.7336
BP1_D03	560516	30.8747
BP1_D04	560516	26.9677
BP1_D05	560516	7.11023
BP1_D06	560516	10.8184
BP1_D08	560516	33.8789
BP1_D10	560516	11.2358
BP1_E02	560516	45.6395
BP1_E03	560516	12.5811
BP1_E04	560516	33.208
BP1_E06	560516	30.1655
BP1_E08	560516	30.5101
BP1_E09	560516	7.68106
BP1_E11	560516	7.25908
BP1_F01	560516	11.1092
BP1_F02	560516	61.7854
BP1_F03	560516	45.165
BP1_F05	560516	10.6125
BP1_F09	560516	35.8454
BP1_F11	560516	24.6437
BP1_G01	560516	47.3703
BP1_G02	560516	23.4809
BP1_G06	560516	10.7144
BP1_G08	560516	8.38172
BP1_G09	560516	11.2957
BP1_G11	560516	7.9026
BP1_G12	560516	13.448
BP1_H01	560516	8.45194
BP1_H03	560516	7.35498
BP1_H04	560516	9.75
BP1_H05	560516	8.32966
BP1_H06	560516	7.73189
BP1_H07	560516	14.8178
BP1_H08	560516	13.4585
BP1_H12	560516	27.2323
BP2_A01	560516	18.102
BP2_A02	560516	22.4474
BP2_A03	560516	17.8416
BP2_A04	560516	17.8488
BP2_A06	560516	19.5141
BP2_A07	560516	20.428
BP2_A08	560516	18.3522
BP2_A09	560516	18.7052
BP2_A10	560516	21.9154
BP2_A11	560516	19.1105
BP2_A12	560516	18.3167
BP2_B01	560516	18.0362
BP2_B02	560516	18.0235
BP2_B04	560516	16.1477
BP2_B05	560516	18.6929
BP2_B06	560516	16.4778
BP2_B07	560516	14.432
BP2_B08	560516	13.7821
BP2_B09	560516	17.6135
BP2_B10	560516	15.395
BP2_B11	560516	7.03597
BP2_B12	560516	17.0797
BP2_C01	560516	11.1958
BP2_C02	560516	16.3395
BP2_C03	560516	18.4723
BP2_C04	560516	19.1344
BP2_C05	560516	18.3389
BP2_C06	560516	19.8744
BP2_C07	560516	19.5368
BP2_C08	560516	19.73
BP2_C09	560516	17.8933
BP2_C10	560516	19.9549
BP2_C12	560516	19.2254
BP2_D01	560516	18.4284
BP2_D02	560516	9.95595
BP2_D03	560516	15.4032
BP2_D04	560516	20.7833
BP2_D05	560516	19.6574
BP2_D06	560516	22.6431
BP2_D07	560516	20.2239
BP2_D08	560516	19.9089
BP2_D09	560516	19.6498
BP2_D10	560516	19.2565
BP2_D11	560516	13.8387
BP2_D12	560516	20.6841
BP2_E01	560516	20.2723
BP2_E02	560516	19.5685
BP2_E03	560516	17.3212
BP2_E04	560516	17.5785
BP2_E05	560516	16.0696
BP2_E06	560516	19.7019
BP2_E07	560516	22.2342
BP2_E08	560516	20.0416
BP2_E09	560516	19.7681
BP2_E10	560516	19.2977
BP2_E11	560516	19.8356
BP2_E12	560516	18.2462
BP2_F01	560516	17.7871
BP2_F02	560516	17.8575
BP2_F03	560516	17.259
BP2_F04	560516	17.6312
BP2_F06	560516	18.9218
BP2_F07	560516	13.6075
BP2_F08	560516	18.7836
BP2_F09	560516	18.4012
BP2_F10	560516	17.2911
BP2_F11	560516	14.6093
BP2_F12	560516	20.7313
BP2_G01	560516	17.8919
BP2_G02	560516	13.6121
BP2_G03	560516	15.1167
BP2_G04	560516	15.4519
BP2_G05	560516	18.3094
BP2_G06	560516	18.5122
BP2_G07	560516	17.8116
BP2_G08	560516	17.2173
BP2_G09	560516	18.5753
BP2_G10	560516	18.7913
BP2_G11	560516	17.1827
BP2_G12	560516	17.5948
BP2_H01	560516	18.611
BP2_H02	560516	20.5455
BP2_H04	560516	10.8243
BP2_H05	560516	19.0409
BP2_H06	560516	20.2348
BP2_H07	560516	19.6138
BP2_H08	560516	18.1802
BP2_H09	560516	18.4528
BP2_H10	560516	20.0572
BP2_H11	560516	17.9997
BP2_H12	560516	11.1441
