loci	length
R000001	304
R000002	516
R000003	566
R000004	586
R000005	396
R000006	660
R000007	540
R000008	360
R000009	649
R000010	268
R000011	368
R000012	233
R000013	462
R000014	547
R000015	397
R000016	449
R000017	601
R000018	555
R000019	439
R000020	427
R000021	461
R000022	458
R000023	562
R000024	409
R000025	445
R000026	481
R000027	442
R000028	478
R000029	563
R000030	645
R000031	210
R000032	643
R000033	576
R000034	594
R000035	411
R000036	471
R000037	550
R000038	278
R000039	89
R000040	493
R000041	480
R000042	417
R000043	400
R000044	463
R000045	276
R000046	496
R000047	514
R000048	759
R000049	554
R000050	482
R000051	311
R000052	100
R000053	518
R000054	412
R000055	378
R000056	496
R000057	450
R000058	129
R000059	594
R000060	207
R000061	528
R000062	674
R000063	375
R000064	503
R000065	393
R000066	585
R000067	557
R000068	596
R000069	672
R000070	534
R000071	318
R000072	603
R000073	123
R000074	483
R000075	603
R000076	423
R000077	475
R000078	574
R000079	526
R000080	627
R000081	474
R000082	262
R000083	270
R000084	642
R000085	470
R000086	622
R000087	639
R000088	360
R000089	612
R000090	563
R000091	431
R000092	550
R000093	558
R000094	484
R000095	511
R000096	391
R000097	679
R000098	464
R000099	444
R000100	656
R000101	640
R000102	494
R000103	485
R000104	462
R000105	235
R000106	355
R000107	384
R000108	452
R000109	695
R000110	195
R000111	549
R000112	506
R000113	544
R000114	594
R000115	555
R000116	496
R000117	144
R000118	583
R000119	508
R000120	373
R000121	558
R000122	590
R000123	522
R000124	607
R000125	192
R000126	476
R000127	104
R000128	190
R000129	424
R000130	373
R000131	169
R000132	483
R000133	492
R000134	573
R000135	392
R000136	780
R000137	356
R000138	164
R000139	421
R000140	463
R000141	518
R000142	486
R000143	380
R000144	693
R000145	352
R000146	610
R000147	148
R000148	580
R000149	520
R000150	679
R000151	125
R000152	306
R000153	515
R000154	312
R000155	366
R000156	623
R000157	127
R000158	647
R000159	489
R000160	548
R000161	537
R000162	640
R000163	594
R000164	520
R000165	426
R000166	139
R000167	605
R000168	466
R000169	572
R000170	689
R000171	446
R000172	537
R000173	504
R000174	411
R000175	281
R000176	554
R000177	497
R000178	593
R000179	444
R000180	451
R000181	619
R000182	123
R000183	425
R000184	406
R000185	618
R000186	630
R000187	290
R000188	481
R000189	653
R000190	489
R000191	664
R000193	544
R000194	417
R000195	514
R000196	520
R000197	418
R000198	630
R000199	459
R000200	424
R000201	157
R000202	532
R000203	203
R000204	620
R000205	521
R000206	422
R000207	591
R000208	629
R000209	438
R000210	432
R000211	526
R000212	503
R000213	548
R000214	496
R000215	464
R000216	393
R000217	593
R000218	655
R000219	511
R000220	497
R000221	616
R000222	547
R000223	547
R000224	574
R000225	695
R000226	416
R000227	555
R000228	326
R000229	561
R000230	490
R000231	346
R000232	451
R000233	557
R000234	531
R000235	482
R000236	689
R000237	505
R000238	535
R000239	573
R000240	545
R000241	453
R000242	485
R000243	536
R000244	496
R000245	491
R000246	511
R000247	349
R000248	495
R000249	506
R000250	254
R000251	497
R000252	416
R000253	305
R000254	340
R000255	124
R000256	449
R000257	477
R000258	478
R000259	520
R000260	518
R000261	572
R000262	566
R000263	400
R000264	541
R000265	456
R000266	423
R000267	558
R000268	522
R000269	413
R000270	351
R000271	582
R000272	395
R000273	259
R000274	562
R000275	365
R000276	642
R000277	568
R000278	485
R000279	270
R000280	277
R000281	598
R000282	574
R000283	442
R000284	536
R000285	419
R000286	561
R000287	574
R000288	384
R000289	482
R000290	89
R000291	365
R000292	387
R000293	332
R000294	441
R000295	538
R000296	483
R000297	559
R000298	440
R000299	518
R000300	641
R000301	469
R000302	396
R000303	452
R000304	469
R000305	448
R000306	196
R000307	528
R000308	345
R000309	443
R000310	465
R000311	522
R000312	512
R000313	272
R000314	578
R000315	564
R000316	289
R000317	603
R000318	100
R000319	579
R000320	617
R000321	414
R000322	485
R000323	358
R000324	483
R000325	418
R000326	475
R000327	494
R000328	581
R000329	496
R000330	111
R000331	448
R000332	439
R000333	533
R000334	416
R000335	578
R000336	639
R000337	344
R000338	612
R000339	491
R000340	548
R000341	590
R000342	460
R000343	472
R000344	587
R000345	429
R000346	431
R000347	484
R000348	499
R000349	475
R000350	421
R000351	514
R000352	501
R000353	644
R000354	480
R000355	535
R000356	489
R000357	484
R000358	454
R000359	441
R000360	533
R000361	589
R000362	559
R000363	659
R000364	458
R000365	352
R000366	548
R000367	543
R000368	242
R000369	521
R000370	552
R000371	556
R000372	676
R000373	452
R000374	587
R000375	611
R000376	529
R000377	545
R000378	633
R000379	316
R000380	453
R000381	547
R000382	564
R000383	590
R000384	244
R000385	500
R000386	298
R000387	506
